time,temp,rhum,wspd
2021-01-01 00:00:00,21.98,54.0,2.84
2021-01-01 01:00:00,20.85,57.9,1.89
2021-01-01 02:00:00,23.89,61.24,2.69
2021-01-01 03:00:00,20.81,67.45,1.89
2021-01-01 04:00:00,18.68,62.28,0.8
2021-01-01 05:00:00,18.91,71.85,0.81
2021-01-01 06:00:00,15.27,70.31,0.75
2021-01-01 07:00:00,17.18,72.16,0.61
2021-01-01 08:00:00,15.35,77.05,0.58
2021-01-01 09:00:00,12.62,75.77,0.35
2021-01-01 10:00:00,15.62,74.01,0.21
2021-01-01 11:00:00,19.56,66.37,0.74
2021-01-01 12:00:00,17.75,63.89,0.85
2021-01-01 13:00:00,20.55,68.07,0.99
2021-01-01 14:00:00,18.97,61.92,0.79
2021-01-01 15:00:00,21.77,57.98,0.96
2021-01-01 16:00:00,22.73,56.95,1.58
2021-01-01 17:00:00,25.02,59.3,1.93
2021-01-01 18:00:00,24.51,57.32,2.01
2021-01-01 19:00:00,25.47,50.79,2.31
2021-01-01 20:00:00,26.05,52.12,2.7
2021-01-01 21:00:00,26.53,50.66,2.61
2021-01-01 22:00:00,23.76,55.58,3.42
2021-01-01 23:00:00,24.85,53.92,2.51
2021-01-02 00:00:00,23.4,57.77,1.92
2021-01-02 01:00:00,21.1,59.9,1.49
2021-01-02 02:00:00,20.44,66.54,1.91
2021-01-02 03:00:00,20.36,70.8,1.68
2021-01-02 04:00:00,19.12,67.98,0.63
2021-01-02 05:00:00,16.18,75.71,0.53
2021-01-02 06:00:00,16.39,70.91,0.56
2021-01-02 07:00:00,16.58,68.4,0.71
2021-01-02 08:00:00,16.39,78.86,0.2
2021-01-02 09:00:00,15.39,77.45,0.59
2021-01-02 10:00:00,15.73,70.9,0.38
2021-01-02 11:00:00,17.48,73.72,0.2
2021-01-02 12:00:00,17.74,69.51,0.49
2021-01-02 13:00:00,20.14,64.3,1.12
2021-01-02 14:00:00,19.73,65.66,1.2
2021-01-02 15:00:00,20.02,62.54,1.4
2021-01-02 16:00:00,22.54,54.89,1.81
2021-01-02 17:00:00,24.01,50.04,1.44
2021-01-02 18:00:00,25.57,56.7,2.55
2021-01-02 19:00:00,24.32,55.97,2.42
2021-01-02 20:00:00,26.71,51.59,2.62
2021-01-02 21:00:00,25.11,46.39,2.73
2021-01-02 22:00:00,24.33,54.15,2.71
2021-01-02 23:00:00,25.05,50.01,2.66
2021-01-03 00:00:00,20.94,58.94,2.1
2021-01-03 01:00:00,21.94,64.0,2.14
2021-01-03 02:00:00,20.41,56.75,1.44
2021-01-03 03:00:00,18.85,64.96,1.62
2021-01-03 04:00:00,17.21,65.12,1.04
2021-01-03 05:00:00,16.52,68.6,1.12
2021-01-03 06:00:00,16.85,69.98,0.8
2021-01-03 07:00:00,17.32,66.86,0.23
2021-01-03 08:00:00,16.37,70.53,0.76
2021-01-03 09:00:00,15.52,74.55,0.67
2021-01-03 10:00:00,14.28,71.92,0.22
